Rank Team                            W-L-T    Rating
662  Allegheny                       5-5-0  -48.7422
663  MIT                             5-4-0  -48.9973
664  Pomona-Pitzer                   1-8-0  -49.1962
665  WPI                             2-8-0  -49.5305
666  Dordt                           1-10-0 -49.7286
667  North Carolina Wesleyan         3-7-0  -49.8823
668  Averett                         1-9-0   -49.931
669  Howard Payne                    1-9-0  -50.8046
670  Stevenson                       2-8-0  -50.8207
671  Southwestern KS                 4-7-0  -50.9499
672  SUNY-Maritime                   3-6-0  -51.1445
673  Rose-Hulman                     4-5-0  -51.1657
674  St Vincent                      0-10-0 -51.2657
675  Greensboro                      5-5-0   -51.415
676  Bluffton                        6-4-0  -51.8752
677  Hamline                         1-9-0  -52.2731
678  McDaniel                        0-10-0 -52.2965
679  Apprentice                      0-8-0  -52.5714
680  Bluefield                       0-11-0 -52.6812
681  Culver-Stockton                 1-10-0 -52.8733
682  Greenville                      8-2-0  -53.1759
683  Occidental                      2-7-0  -53.2069
684  Marietta                        0-10-0 -53.2743
685  Bethany KS                      3-8-0  -53.3063
686  Mt St Joseph                    4-6-0  -53.5257
687  Claremont-Mudd-Scripps          0-9-0  -53.6248
688  Grinnell                        2-8-0   -53.791
689  Wilkes                          5-5-0  -54.1206
690  Alma                            1-9-0  -54.1747
691  Concordia MI                    0-9-0  -54.3597
692  Wayland Baptist                 2-7-0  -54.9482
693  King's PA                       2-8-0  -55.3428
694  Loras                           2-8-0  -55.7641
695  Puget Sound                     0-9-0  -56.1223
696  Lakeland                        2-8-0  -57.1773
697  Plymouth St                     2-8-0  -57.5993
698  UMass-Dartmouth                 1-9-0  -58.0165
699  Morrisville St                  1-9-0  -58.5453
700  Western Conn St                 1-8-0  -58.5983
701  Defiance                        2-8-0  -59.0672
702  Olivet                          0-10-0  -59.677
703  Knox                            2-8-0  -59.9604
704  Nichols                         1-9-0  -60.3413
705  Fitchburg St                    2-8-0  -60.4611
706  Minnesota-Morris                6-4-0  -61.4656
707  Wilmington                      1-9-0  -61.5871
708  Becker                          3-7-0  -61.9243
709  FDU-Florham                     2-8-0  -63.1045
710  Lawrence                        2-8-0   -64.231
711  Westminster MO                  4-6-0   -64.483
712  Eureka                          4-6-0  -64.8148
713  Martin Luther                   4-6-0  -65.9597
714  Anna Maria                      2-8-0  -69.2146
715  Rockford                        2-8-0  -69.5348
716  Husson                          2-8-0  -69.6869
717  Hiram                           0-10-0 -70.0272
718  Beloit                          0-10-0 -70.0302
719  Presentation                    2-8-0  -72.6596
720  Maine Maritime                  0-9-0  -73.1945
721  MacMurray                       2-8-0  -73.5886
722  Crown                           2-8-0  -74.6168
723  Earlham                         1-8-0  -74.9069
724  Anderson                        0-10-0 -77.9549
725  Haskell                         1-8-0  -79.0966
726  Bethel KS                       0-10-0 -80.9079
727  Maranatha Baptist               0-10-0 -81.7083
728  Trinity Bible                   1-7-0  -81.9357
729  Misericordia                    0-10-0  -83.608
