Rank Team                            W-L-T    Rating
228  Brown                           6-4-0   9.76408
229  Willamette                      7-3-0   9.72864
230  Pittsburg St                    6-6-0   9.65027
231  Saginaw Valley St               4-7-0   9.61123
232  Minn St-Mankato                 6-5-0   9.36075
233  Texas St-San Marcos             4-7-0   8.96385
234  Lenoir-Rhyne                    7-4-0   8.65726
235  Eastern Illinois                2-9-0    8.6095
236  Wingate                         9-3-0   8.55174
237  Colorado St-Pueblo              9-2-0   8.54891
238  Midwestern St                   8-4-0   8.31555
239  Georgia St                      6-5-0   8.22553
240  UW-Stevens Point                7-3-0   7.99966
241  SE Louisiana St                 2-9-0   7.98217
242  Arkansas-Monticello             4-7-0    7.9713
243  Concordia-St Paul               8-4-0   7.95674
244  Idaho St                        1-10-0  7.82359
245  Prairie View A&M                7-4-0   7.65334
246  Wayne St NE                     6-5-0   7.53569
247  Northwestern St                 5-6-0   7.49522
248  The Citadel                     3-8-0   7.47716
249  Florida A&M                     8-3-0   7.27473
250  Azusa Pacific                   6-4-0   7.02685
251  Indianapolis                    6-5-0   6.95588
252  Tennessee St                    3-8-0   6.95314
253  Dartmouth                       6-4-0   6.68045
254  Mercyhurst                      10-3-0  6.60132
255  Colorado Mines                  9-3-0     6.495
256  Central Conn St                 8-3-0   6.49293
257  Towson                          1-10-0  6.38723
258  Alcorn St                       5-6-0   6.37629
259  Cal Lutheran                    8-2-0   6.37512
260  Arkansas Tech                   4-7-0   6.23841
261  Nicholls St                     4-7-0    6.1103
262  Angelo St                       5-5-0   6.06686
263  Monmouth NJ                     3-8-0    5.9372
264  Ohio Northern                   10-2-0  5.85722
265  Fort Hays St                    3-8-0   5.74883
266  Nebraska-Kearney                9-2-0   5.58521
267  Lindenwood                      9-2-0   5.39033
268  Bemidji St                      7-4-0   5.25693
269  Western Carolina                2-9-0   5.15957
270  Missouri Southern               4-7-0   5.12193
271  Trine                           11-1-0  4.92594
272  Chadron St                      8-3-0   4.85113
273  Bethel MN                       12-2-0  4.78693
274  Concord                         8-3-0   4.68254
275  Kutztown                        10-2-0   4.6265
276  Albany St GA                    11-1-0  4.58756
277  Tusculum                        6-5-0   4.55098
278  Bryant                          7-4-0   4.54712
279  Dayton                          10-1-0  4.43818
280  St John's MN                    7-3-0   4.10116
281  Duquesne                        7-4-0   4.09364
282  Morningside                     10-2-0   4.0826
283  Alabama St                      7-5-0   4.06298
284  Albany NY                       6-5-0   3.98968
285  Yale                            7-3-0   3.98222
286  St Francis IN                   10-2-0  3.97942
287  McMurry                         6-4-0   3.97427
288  Wheaton                         10-2-0  3.95972
289  Carson-Newman                   7-4-0   3.90227
290  Northwood                       5-6-0   3.89195
291  West Georgia                    3-7-0   3.67731
292  UNC-Pembroke                    5-5-0   3.58538
293  Hampton                         6-5-0   3.54561
294  Holy Cross                      6-5-0   3.45892
295  Arkansas-Pine Bluff             5-6-0   3.12029
296  Columbia                        4-6-0    2.8775
297  Winston-Salem St                8-2-0   2.86099
298  Drake                           7-4-0   2.66504
299  Emporia St                      5-6-0   2.55528
300  Norfolk St                      6-5-0   2.46495
301  C.W. Post                       7-4-0     2.107
302  Indiana PA                      6-5-0   2.02493
303  Redlands                        8-1-0   1.84387
304  Tuskegee                        9-2-0   1.75298
305  Truman St                       4-7-0   1.44034
306  North Greenville                7-3-0   1.18347
307  Charleston WV                   6-5-0   1.06489
308  VMI                             3-8-0   1.06072
309  St John Fisher                  9-2-0  0.907246
310  Gardner-Webb                    4-7-0  0.894925
311  Marian IN                       10-3-0 0.894277
312  Delaware Valley                 9-3-0  0.881915
313  East Stroudsburg                3-8-0  0.876661
314  Newberry                        4-6-0  0.669935
315  Eastern New Mexico              5-6-0  0.473404
316  William Penn                    10-1-0 0.411377
317  Mary                            4-7-0  0.349675
318  Fort Valley St                  8-3-0   0.23131
319  Ferris St                       5-6-0  0.156801
320  SW Baptist                      7-4-0  -0.0181018
321  Austin Peay                     2-9-0  -0.0975695
322  Lamar                           5-6-0  -0.146433
323  Louisiana College               7-3-0  -0.490941
324  Salisbury                       7-3-0  -0.725683
325  Slippery Rock                   6-5-0  -0.744887
326  Central IA                      8-2-0  -0.807241
327  McKendree                       9-3-0  -0.81491
328  Fordham                         5-6-0  -0.918008
329  San Diego                       5-6-0  -0.994416
330  Southern Arkansas               1-9-0  -1.04851
331  WV Wesleyan                     9-2-0  -1.08935
332  Lafayette                       2-9-0  -1.15956
333  Southern Conn St                6-4-0  -1.26229
334  Catawba                         6-4-0  -1.31943
335  Franklin                        9-2-0  -1.40402
336  Mars Hill                       5-6-0  -1.45591
337  Presbyterian                    2-9-0  -1.47467
338  Fairmont St                     5-6-0   -1.6097
339  Gannon                          6-5-0  -1.61159
340  UW-Oshkosh                      4-6-0  -1.71696
341  Pacific Lutheran                8-1-0  -1.78827
342  Wagner                          5-6-0  -1.92332
343  Rocky Mountain                  6-5-0  -2.12979
344  Charleston Southern             3-8-0  -2.22244
345  Wartburg                        10-1-0 -2.34787
346  MidAmerica Nazarene             12-1-0 -2.39134
347  Alabama A&M                     3-8-0  -3.11277
348  Cumberlands KY                  7-4-0  -3.15962
349  Shippensburg                    5-6-0  -3.16115
350  Lambuth                         4-6-0  -3.47684
351  Grand View                      6-4-0  -3.58009
352  Sacred Heart                    4-7-0  -3.62446
353  Delaware St                     3-8-0  -3.74349
354  Clarion                         4-7-0  -3.75074
355  Alfred                          10-3-0 -3.77143
356  UW-Stout                        6-4-0   -3.9678
357  Georgetown KY                   8-3-0    -4.208
358  Coe                             9-2-0  -4.25768
359  American Int'l                  6-4-0  -4.26637
360  Edinboro                        7-4-0  -4.26852
361  North Carolina Central          3-8-0  -4.45855
362  Bentley                         5-4-0    -4.486
363  Morgan St                       4-7-0   -4.5437
364  Northeastern St OK              6-5-0  -4.56308
365  NW Oklahoma St                  8-3-0  -4.87535
366  West Chester                    4-7-0  -5.10934
367  Springfield                     9-2-0  -5.17448
368  Northwestern IA                 8-2-0  -5.28354
369  Wabash                          8-2-0  -5.39187
370  UW-La Crosse                    3-7-0   -5.4211
371  East Central OK                 5-6-0  -5.55825
372  Georgetown DC                   4-7-0  -5.61006
373  Wittenberg                      10-1-0 -5.61992
374  Urbana                          5-6-0  -5.87798
375  Morehouse                       8-3-0   -5.9305
376  Augustana IL                    6-4-0  -5.93677
377  St Ambrose                      5-5-0  -6.29284
378  St Olaf                         6-4-0  -6.49759
379  Shaw                            9-3-0  -6.64173
380  Butler                          4-7-0   -6.7829
381  East Texas Baptist              5-5-0  -6.82853
382  Whitworth                       5-5-0  -7.16169
383  Southern U.                     2-9-0  -7.68892
384  Baldwin-Wallace                 7-3-0  -7.70281
385  New Haven                       8-2-0  -7.72656
386  SE Oklahoma St                  3-8-0  -7.85013
387  Union KY                        7-4-0  -7.94284
388  Southern Oregon                 3-7-0   -7.9529
389  Montana Tech                    5-6-0  -8.02712
390  Walsh                           7-4-0  -8.04694
391  Tarleton St                     3-8-0  -8.12353
392  SW Minnesota St                 4-7-0  -8.13824
393  UW-Platteville                  5-5-0  -8.18734
394  Elmhurst                        6-4-0  -8.24985
395  Adams St                        5-6-0   -8.4497
396  Cortland St                     10-2-0 -8.60314
397  Claremont-Mudd-Scripps          7-2-0  -8.66305
398  Central Oklahoma                2-9-0  -8.71186
399  Fayetteville St                 5-5-0  -8.80562
400  Illinois Wesleyan               7-3-0  -8.95306
401  Ithaca                          6-4-0  -9.20631
402  Campbell                        3-8-0  -9.26065
403  Brevard                         4-7-0  -9.27357
404  Johns Hopkins                   8-3-0  -9.33173
405  Ohio Dominican                  2-8-0  -9.33868
406  Northern St SD                  2-9-0  -9.52851
407  St Augustine's                  9-2-0  -9.78012
408  Marist                          3-8-0  -9.99233
409  Eastern Oregon                  5-6-0  -10.0173
410  Princeton                       1-9-0  -10.0623
