Rank Team                            W-L-T    Rating
661  North Carolina Wesleyan         2-8-0  -44.8063
662  Aurora                          3-7-0  -44.9966
663  Briar Cliff                     2-9-0  -45.4132
664  Coast Guard                     2-7-0  -45.8527
665  Defiance                        4-6-0  -46.2803
666  Norwich                         7-4-0  -46.4001
667  UMass-Dartmouth                 5-5-0  -46.5208
668  Pomona-Pitzer                   0-9-0  -46.7125
669  Knox                            0-10-0 -46.9902
670  Curry                           5-5-0  -47.2904
671  Moravian                        2-8-0  -47.4414
672  Gallaudet                       5-5-0  -47.6165
673  Stevenson                       2-8-0   -48.191
674  Averett                         3-7-0   -48.293
675  Anderson                        1-9-0  -48.4881
676  Dakota St                       1-10-0 -48.6668
677  Lawrence                        1-9-0  -49.0511
678  Greenville                      7-4-0  -49.4901
679  Graceland                       1-9-0  -49.6741
680  Cornell IA                      3-7-0  -49.8708
681  Hamline                         0-10-0 -49.9525
682  Pace                            1-9-0  -50.0751
683  Olivet                          1-9-0  -50.4249
684  Culver-Stockton                 1-10-0 -50.7141
685  Southern Virginia               2-7-0  -50.9003
686  Northwestern MN                 6-4-0  -51.0118
687  Thiel                           0-10-0 -51.2942
688  Westminster MO                  8-2-0  -52.3576
689  Juniata                         1-9-0   -53.919
690  Texas College                   0-11-0 -54.1196
691  MIT                             2-7-0  -54.5933
692  King's PA                       1-9-0  -55.0661
693  Maine Maritime                  4-5-0  -55.1056
694  Wilmington                      0-10-0 -55.7759
695  Ave Maria                       0-9-0  -56.1015
696  Plymouth St                     4-6-0  -56.2656
697  Hiram                           1-9-0  -56.4174
698  Guilford                        2-8-0  -56.6737
699  Kenyon                          0-10-0 -56.7737
700  FDU-Florham                     1-9-0   -56.958
701  Apprentice                      2-8-0  -57.2704
702  Western Conn St                 0-10-0  -58.852
703  Concordia MI                    0-11-0 -58.9035
704  Waldorf                         2-9-0   -60.144
705  Greensboro                      0-10-0 -60.3126
706  Trinity Bible                   4-4-0  -61.6729
707  Nichols                         0-10-0 -61.8251
708  Bethel KS                       1-10-0 -63.1173
709  Earlham                         0-10-0 -63.2206
710  Castleton St                    4-6-0  -64.2991
711  Rockford                        0-10-0  -66.471
712  Minnesota-Morris                5-5-0  -69.7734
713  Fitchburg St                    2-8-0  -69.7836
714  Anna Maria                      2-8-0  -70.5255
715  Maranatha Baptist               3-7-0  -70.8823
716  Becker                          1-9-0  -72.2048
717  Eureka                          4-6-0  -74.3262
718  Haskell                         0-11-0 -75.1264
719  Husson                          0-10-0 -77.4393
720  Presentation                    3-7-0  -80.1032
721  Martin Luther                   2-8-0  -80.1222
722  Crown                           0-10-0  -83.395
723  MacMurray                       2-8-0  -86.9508
