Rank Team                            W-L-T    Rating
220  UC-Davis                        2-8-0   17.4987
221  Monmouth NJ                     5-5-0   16.8312
222  Wagner                          6-4-0   16.7616
223  St Francis PA                   5-5-0   16.6467
224  Humboldt St                     8-2-0   16.5098
225  Eastern Michigan                2-8-0   16.4379
226  Florida Tech                    6-5-0   16.3095
227  West Texas A&M                  6-5-0   16.2278
228  West Alabama                    5-6-0   16.0649
229  Furman                          3-8-0   16.0483
230  Grand Valley St                 6-5-0   16.0002
231  Murray St                       3-8-0   15.9692
232  Delaware                        6-5-0   15.9124
233  Linfield                        8-1-0   15.8329
234  Holy Cross                      4-7-0   15.7769
235  Tennessee Tech                  4-7-0   15.4354
236  Colorado Mines                  10-1-0  15.3254
237  Jacksonville FL                 9-2-0   15.1714
238  Gannon                          8-2-0   15.0679
239  North Carolina Central          6-5-0   14.5849
240  Colgate                         4-7-0   14.4245
241  Wayne St MI                     7-4-0   14.4181
242  Northern Colorado               3-7-0   14.1457
243  Lehigh                          3-7-0   14.1083
244  Southern Oregon                 9-2-0   13.8613
245  Ouachita Baptist                10-0-0  13.7652
246  Slippery Rock                   9-2-0   13.6459
247  Winston-Salem St                9-2-0   13.6142
248  UW-Whitewater                   10-0-0  13.2633
249  Elon                            1-10-0  13.2447
250  Lindsey Wilson                  9-2-0   13.0891
251  Wartburg                        10-0-0  13.0089
252  Morgan St                       6-5-0   12.5238
253  North Dakota                    4-7-0   12.2942
254  Grand View                      9-1-0   11.4199
255  Brown                           4-5-0   11.1073
256  Azusa Pacific                   10-1-0  11.1015
257  Indianapolis                    9-2-0   10.6606
258  California PA                   8-2-0   10.5121
259  Alabama St                      6-5-0   10.4767
260  Towson                          4-7-0   10.2326
261  Georgetown KY                   8-2-0   10.0162
262  Kutztown                        6-5-0   9.97391
263  Carson-Newman                   7-3-0   9.90083
264  Morningside                     9-1-0    9.7719
265  Princeton                       5-4-0   9.64421
266  Assumption                      7-4-0   9.59045
267  Charleston WV                   8-3-0   9.17116
268  Mercyhurst                      7-4-0   9.10316
269  Grambling St                    7-4-0   8.88719
270  Chadron St                      8-3-0   8.85451
271  Newberry                        5-6-0   8.78675
272  Gardner-Webb                    4-7-0   8.63683
273  Norfolk St                      4-7-0   8.17496
274  LIU Post                        8-3-0   8.16317
275  New Haven                       6-5-0   7.98082
276  Central Conn St                 2-9-0   7.80374
277  St Xavier                       8-2-0    7.7647
278  American Int'l                  8-3-0   7.76318
279  Central Washington              7-4-0   7.66283
280  Hampton                         3-8-0   7.53105
281  Pennsylvania                    1-8-0   7.32873
282  Tuskegee                        9-2-0   7.25657
283  Howard                          4-7-0   7.03326
284  Findlay                         5-6-0   7.00595
285  Southern U.                     8-3-0   6.89432
286  Johns Hopkins                   10-0-0  6.76281
287  Bentley                         5-6-0   6.46967
288  Georgetown DC                   2-8-0   6.45834
289  VMI                             2-9-0   6.32876
290  North Greenville                6-5-0   6.07374
291  Dayton                          7-3-0   5.89983
292  Marian IN                       8-2-0   5.86142
293  Prairie View A&M                5-5-0   5.82877
294  Virginia St                     9-2-0   5.69401
